ts,open,high,low,close
1788323100,4351.0,4351.2998046875,4349.2001953125,4350.2001953125
1788323160,4349.7998046875,4350.39990234375,4349.7001953125,4349.89990234375
1788323220,4349.89990234375,4349.89990234375,4348.7998046875,4348.89990234375
1788323280,4349.0,4349.7001953125,4348.2998046875,4348.89990234375
1788323340,4349.10009765625,4349.7001953125,4348.5,4349.39990234375
1788323400,4349.60009765625,4351.2001953125,4349.10009765625,4351.0
1788323460,4350.7998046875,4351.0,4349.2001953125,4349.7001953125
1788323520,4349.7998046875,4354.2001953125,4349.7998046875,4354.2001953125
1788323580,4354.0,4354.39990234375,4351.60009765625,4351.60009765625
1788323640,4351.5,4352.10009765625,4351.5,4352.0
1788323700,4351.7001953125,4352.2998046875,4351.5,4351.7001953125
1788323760,4351.7001953125,4351.7001953125,4350.2998046875,4350.60009765625
1788323820,4350.89990234375,4353.0,4350.89990234375,4352.60009765625
1788323880,4352.39990234375,4353.0,4351.7998046875,4352.2001953125
1788323940,4351.7001953125,4351.7001953125,4350.2998046875,4350.89990234375
1788324000,4350.89990234375,4351.7998046875,4350.7998046875,4350.7998046875
1788324060,4350.89990234375,4351.0,4350.5,4350.60009765625
1788324120,4351.0,4351.2998046875,4350.89990234375,4351.2001953125
1788324180,4350.7998046875,4352.7001953125,4349.39990234375,4352.2998046875
1788324240,4352.10009765625,4352.7998046875,4351.0,4351.0
1788324300,4351.39990234375,4352.10009765625,4351.2998046875,4351.2998046875
1788324360,4351.89990234375,4352.0,4351.2998046875,4351.39990234375
1788324420,4351.89990234375,4352.5,4350.39990234375,4351.10009765625
1788324480,4351.39990234375,4352.7001953125,4350.7001953125,4352.7001953125
1788324540,4353.2001953125,4353.2001953125,4352.2998046875,4352.2998046875
1788324600,4352.60009765625,4353.2001953125,4352.10009765625,4352.39990234375
1788324660,4352.60009765625,4352.7001953125,4351.60009765625,4351.7998046875
1788324720,4351.7998046875,4352.5,4351.39990234375,4352.10009765625
1788324780,4352.2998046875,4353.5,4351.7998046875,4353.2001953125
1788324840,4353.2001953125,4353.2001953125,4352.7001953125,4353.10009765625
1788324900,4352.7001953125,4353.5,4352.7001953125,4353.2998046875
1788324960,4353.39990234375,4353.60009765625,4352.7001953125,4353.2001953125
1788325020,4353.2001953125,4353.39990234375,4352.5,4352.7998046875
1788325080,4352.7001953125,4353.60009765625,4352.7001953125,4353.39990234375
1788325140,4353.7001953125,4354.2001953125,4353.7001953125,4353.7001953125
1788325200,4353.89990234375,4354.7001953125,4353.2998046875,4354.5
1788325260,4354.2001953125,4354.2001953125,4352.0,4352.5
1788325320,4352.60009765625,4353.60009765625,4352.60009765625,4352.7001953125
1788325380,4353.10009765625,4353.10009765625,4352.7001953125,4353.10009765625
1788325440,4352.89990234375,4353.5,4352.7001953125,4352.89990234375
1788325500,4352.7001953125,4352.7001953125,4350.89990234375,4351.60009765625
1788325560,4351.60009765625,4351.60009765625,4350.5,4351.10009765625
1788325620,4351.10009765625,4351.60009765625,4351.10009765625,4351.2998046875
1788325680,4351.39990234375,4351.60009765625,4351.2998046875,4351.5
1788325740,4351.7001953125,4351.7998046875,4350.0,4351.2998046875
1788325800,4351.39990234375,4352.89990234375,4351.2001953125,4351.2001953125
1788325860,4351.5,4352.0,4351.2998046875,4351.7001953125
1788325920,4351.89990234375,4355.89990234375,4351.60009765625,4355.60009765625
1788325980,4355.5,4355.7998046875,4354.5,4355.7001953125
1788326040,4355.89990234375,4356.5,4355.7998046875,4356.5
1788326100,4356.60009765625,4359.2998046875,4356.60009765625,4357.7001953125
1788326160,4357.39990234375,4359.2001953125,4357.2998046875,4359.0
1788326220,4358.7998046875,4359.7998046875,4357.7001953125,4359.7001953125
1788326280,4359.89990234375,4360.5,4358.60009765625,4358.60009765625
1788326340,4358.60009765625,4358.7998046875,4356.7001953125,4357.2001953125
1788326400,4357.2001953125,4357.39990234375,4355.7998046875,4356.7998046875
1788326460,4356.60009765625,4356.60009765625,4354.2998046875,4354.2998046875
1788326520,4354.5,4354.60009765625,4353.60009765625,4353.60009765625
1788326580,4353.7998046875,4355.0,4353.2001953125,4355.0
1788326640,4354.89990234375,4355.2998046875,4353.60009765625,4355.2998046875
1788326700,4355.60009765625,4356.7998046875,4355.2001953125,4355.7001953125
1788326760,4355.7998046875,4357.7001953125,4355.7998046875,4357.7001953125
1788326820,4357.5,4358.0,4356.5,4357.60009765625
1788326880,4357.7001953125,4360.0,4356.7998046875,4360.0
1788326940,4360.0,4360.5,4359.39990234375,4359.7001953125
1788327000,4359.7998046875,4367.2001953125,4359.7001953125,4367.2001953125
1788327060,4367.0,4370.60009765625,4366.7998046875,4367.0
1788327120,4366.7001953125,4369.10009765625,4365.89990234375,4368.89990234375
1788327180,4368.7998046875,4370.10009765625,4368.0,4369.5
1788327240,4369.60009765625,4371.7001953125,4368.5,4371.2998046875
1788327300,4370.7998046875,4371.0,4368.2001953125,4368.5
1788327360,4368.5,4368.7998046875,4366.89990234375,4367.39990234375
1788327420,4367.60009765625,4368.2998046875,4365.5,4365.5
1788327480,4365.39990234375,4366.39990234375,4364.39990234375,4366.2001953125
1788327540,4366.7001953125,4367.39990234375,4364.7998046875,4365.0
1788327600,4365.0,4365.7001953125,4363.89990234375,4364.2998046875
1788327660,4365.10009765625,4367.7998046875,4364.2998046875,4367.2001953125
1788327720,4367.10009765625,4369.5,4366.7998046875,4366.89990234375
1788327780,4366.7998046875,4368.0,4366.7998046875,4368.0
1788327840,4367.89990234375,4369.7001953125,4367.7001953125,4369.60009765625
1788327900,4369.89990234375,4370.7001953125,4369.2001953125,4370.7001953125
1788327960,4370.39990234375,4371.7001953125,4369.2001953125,4369.89990234375
1788328020,4370.10009765625,4370.39990234375,4369.89990234375,4370.2001953125
1788328080,4370.39990234375,4371.2998046875,4370.2001953125,4370.7001953125
1788328140,4370.7998046875,4372.89990234375,4370.7001953125,4372.39990234375
1788328200,4372.60009765625,4373.10009765625,4368.7001953125,4369.10009765625
1788328260,4369.0,4369.7998046875,4368.7998046875,4369.7998046875
1788328320,4369.10009765625,4369.5,4368.39990234375,4368.5
1788328380,4369.0,4369.0,4367.0,4367.5
